date,applicant ,arrival,asylum ,benefit,border ,control ,business ,citizenship ,compensation ,consulate ,contract ,customs ,deportation ,diaspora ,discriminate ,earning ,economy ,embassy ,emigrant ,emigrate ,emigration ,employer ,employment ,foreigner,GDP,hiring ,illegal ,immigrant ,immigrate ,immigration ,income ,inflation ,internship ,job,labor,layoff,legalization ,migrant,migrate,migration ,minimum ,nationality ,naturalization ,passport,payroll,pension,quota,recession ,recruitment,refugee ,remuneration ,required documents ,salary,Schengen,smuggler ,smuggling,tax,tourist ,unauthorized ,undocumented ,unemployment ,union,unskilled,vacancy,visa,waiver,wage,welfare
2016-01-03,24,5,29,60,24,94,69,26,76,38,59,73,24,22,51,35,47,46,13,36,39,48,92,3,33,53,52,9,9,24,58,60,95,38,13,17,4,6,41,11,68,41,34,82,34,61,21,5,94,15,42,28,79,18,0,0,40,53,31,8,6,60,0,70,64,51,62,69
2016-01-10,16,6,32,75,21,80,71,30,70,39,51,52,14,42,17,36,62,43,7,35,29,54,84,2,42,53,46,11,6,18,65,56,91,40,15,19,3,9,31,10,55,35,74,81,38,65,30,8,76,10,50,42,88,6,52,5,48,67,53,14,5,80,0,69,56,36,44,69
2016-01-17,9,5,36,66,24,84,69,28,76,40,52,72,18,69,17,49,60,41,9,9,29,58,94,4,46,54,51,13,16,20,72,67,88,38,12,21,2,5,32,12,56,49,58,76,32,67,35,7,85,14,17,21,84,22,64,5,55,67,81,14,5,61,18,56,58,42,47,73
2016-01-24,22,4,36,76,22,79,74,23,97,47,53,77,20,56,42,56,66,47,9,27,68,68,88,4,44,51,48,13,6,21,87,51,98,39,14,32,3,9,30,10,52,55,48,88,32,59,41,5,68,18,17,35,87,15,43,35,74,62,36,17,5,63,0,70,53,45,46,90
2016-01-31,24,5,26,68,22,81,73,24,89,35,57,81,8,21,8,31,69,42,2,27,58,57,93,3,54,50,50,14,22,19,94,84,83,36,14,31,5,11,37,13,49,44,57,75,32,61,14,7,59,12,25,42,86,21,32,25,84,57,35,12,5,63,0,55,52,38,38,85
2016-02-07,22,5,21,75,25,80,68,25,97,40,56,71,20,47,67,29,76,49,0,9,48,54,92,5,45,45,48,11,6,17,80,57,78,35,15,26,3,11,37,11,43,51,34,71,27,63,34,9,65,14,8,14,78,12,21,20,71,69,31,13,5,62,0,60,54,39,36,75
2016-02-14,15,5,24,74,23,78,66,27,78,30,53,84,11,26,51,35,69,44,16,27,20,49,71,5,46,45,49,12,19,18,74,49,82,36,14,22,3,7,41,14,47,54,62,73,31,66,28,9,66,14,17,50,75,3,43,20,63,65,32,11,5,61,18,75,55,28,35,71
2016-02-21,40,5,20,83,21,83,74,26,86,42,55,71,11,30,25,33,65,51,9,27,48,55,86,5,54,45,55,14,19,19,83,52,87,38,14,14,4,11,35,9,48,50,64,77,33,59,65,7,61,11,17,14,83,31,32,15,64,84,27,14,5,60,0,79,56,42,36,65
2016-02-28,23,4,24,71,23,82,73,26,83,45,64,72,18,21,24,47,69,52,4,43,47,57,93,3,60,44,55,12,18,22,76,90,85,36,13,32,5,8,49,12,46,45,43,78,29,64,27,6,80,16,33,41,80,24,52,15,59,63,52,13,5,64,34,81,55,38,35,69
2016-03-06,19,6,29,72,21,82,70,29,70,51,55,63,11,29,32,32,69,56,4,17,19,50,93,3,54,42,48,12,12,23,71,72,90,37,13,17,4,9,37,14,44,45,65,73,28,72,26,6,68,11,16,27,83,18,30,14,56,60,43,12,5,59,0,62,53,30,34,83
2016-03-13,33,5,31,80,25,85,68,25,77,44,63,82,14,59,50,26,63,48,9,35,67,67,83,2,48,51,52,13,31,21,67,64,92,37,17,18,3,7,46,12,43,42,37,79,28,71,64,7,72,16,50,21,76,24,0,34,54,73,44,12,5,60,34,46,53,36,36,76
2016-03-20,34,5,28,68,27,79,68,26,78,44,61,65,7,18,43,23,51,50,18,27,40,51,100,2,36,43,48,11,6,17,68,46,75,35,13,16,1,11,42,10,47,43,55,84,27,72,21,6,71,16,17,29,71,28,32,56,55,91,32,17,5,60,0,52,55,29,34,70
2016-03-27,23,6,26,78,22,76,69,20,74,49,54,71,9,31,17,30,53,53,11,37,50,52,80,3,38,44,51,10,10,18,79,74,83,37,12,16,2,9,21,13,91,48,42,79,34,58,35,7,61,13,35,36,81,19,65,41,64,70,27,6,4,63,36,81,58,38,94,82
2016-04-03,20,5,23,75,26,81,71,24,91,51,68,76,6,42,25,34,53,53,9,26,19,57,89,5,51,46,55,11,6,17,81,85,83,38,13,20,4,6,29,10,87,38,40,73,29,68,37,7,59,11,33,63,84,15,10,20,69,59,44,8,5,63,0,55,58,41,78,72
2016-04-10,7,5,32,70,24,84,72,32,84,39,66,77,6,25,41,43,68,45,4,35,38,54,90,2,50,52,46,14,22,17,94,94,80,37,13,18,5,11,40,13,62,37,67,78,25,76,37,5,59,10,8,28,80,12,52,15,96,71,57,12,5,60,0,92,58,47,50,72
2016-04-17,18,6,23,76,25,86,70,23,77,43,59,81,14,46,33,49,61,45,11,18,57,44,94,2,47,43,59,11,12,23,77,81,77,37,13,35,6,9,49,12,51,53,77,74,25,67,61,9,77,11,33,62,82,21,73,29,61,73,57,21,5,61,34,59,52,42,40,78
2016-04-24,22,7,26,82,22,88,68,22,81,47,59,75,7,38,25,38,58,46,18,9,38,51,87,2,53,53,60,9,6,19,62,65,70,39,15,42,5,14,31,11,45,52,43,72,29,67,30,6,52,10,33,49,85,21,21,5,35,66,40,22,5,58,34,59,53,47,39,76
2016-05-01,20,5,20,82,24,83,70,25,97,51,59,79,19,34,66,49,62,48,13,35,57,47,81,2,55,49,48,18,3,21,62,66,75,37,13,35,6,6,51,13,52,44,53,79,25,50,34,8,81,10,33,41,81,15,42,15,34,64,44,14,4,62,0,41,60,40,36,85
2016-05-08,22,5,24,79,23,84,69,28,85,50,54,60,23,43,17,40,66,46,4,18,39,44,89,5,69,47,57,12,16,23,59,56,56,37,14,29,4,7,39,14,49,41,65,72,26,50,45,9,62,14,8,21,84,18,0,15,30,65,54,22,5,63,0,65,57,41,37,84
2016-05-15,18,7,29,78,22,84,68,22,69,42,56,58,16,60,25,33,60,55,9,9,49,52,84,2,50,53,52,11,25,19,57,67,66,37,14,15,5,6,64,14,47,44,51,73,30,70,38,5,53,11,34,21,88,28,21,20,29,96,36,13,5,60,18,61,54,46,40,65
2016-05-22,20,6,28,75,25,84,65,23,76,52,53,77,7,56,42,44,67,50,5,0,29,47,76,1,44,45,55,12,19,17,54,59,60,39,15,23,5,6,28,12,48,51,48,80,25,64,28,5,55,11,34,14,86,28,43,45,31,74,45,21,5,61,35,47,57,42,37,78
2016-05-29,17,6,29,75,23,74,58,17,71,37,44,74,4,45,26,25,50,45,7,19,0,43,76,3,29,51,56,10,3,13,48,64,54,33,14,11,3,11,46,10,44,46,42,77,25,64,14,6,51,13,26,7,78,16,22,36,28,68,46,11,4,62,0,68,56,43,30,80
2016-06-05,19,5,18,58,23,73,64,24,60,40,54,53,12,18,43,32,42,54,16,18,20,44,79,3,28,54,54,14,10,16,54,62,47,36,14,21,5,6,29,9,51,54,52,85,26,49,28,7,59,7,17,7,84,22,33,36,27,64,37,20,5,62,18,86,57,44,38,72
2016-06-12,17,7,29,69,23,89,58,25,51,51,50,65,6,27,18,31,39,50,16,28,30,52,79,6,35,53,57,14,13,16,52,51,60,36,13,25,2,5,27,9,53,42,35,76,26,49,25,4,57,9,18,44,77,19,33,42,27,66,51,10,4,61,0,29,57,45,37,52
2016-06-19,31,6,28,73,32,92,59,29,80,39,51,75,9,22,61,31,50,51,19,9,10,50,79,4,45,54,55,12,13,23,49,54,47,37,15,24,1,5,50,8,47,43,32,83,25,63,25,7,57,12,0,15,80,45,11,26,27,71,28,13,5,68,18,53,72,47,36,56
2016-06-26,29,6,27,65,24,87,61,22,73,42,67,65,10,23,53,31,47,63,19,9,21,44,80,4,40,60,65,10,7,18,49,48,42,37,15,21,7,4,49,10,57,47,32,78,32,53,25,5,59,7,36,15,89,26,34,32,26,78,47,12,5,69,55,39,69,42,48,58
2016-07-03,14,7,23,66,23,77,53,24,61,36,79,57,6,34,19,23,43,50,30,10,22,42,73,7,39,51,79,7,14,12,47,51,46,34,14,13,4,5,33,8,55,43,61,71,27,58,31,6,31,8,9,24,77,21,24,28,27,77,50,9,4,66,0,52,64,42,44,59
2016-07-10,26,8,38,68,20,78,59,20,75,41,61,54,5,23,27,30,42,52,10,10,0,50,76,4,37,50,50,9,14,15,53,54,40,38,15,16,4,5,36,7,49,42,52,77,25,56,56,5,51,8,28,31,78,13,81,11,27,64,39,17,5,62,57,81,66,53,45,79
2016-07-17,26,5,22,65,23,76,62,20,71,55,54,79,11,32,27,32,43,54,10,10,31,43,77,5,26,52,46,11,10,16,57,47,44,38,16,26,4,6,34,8,51,45,33,69,26,48,48,3,42,10,9,38,80,20,23,22,29,63,53,10,4,62,19,80,57,45,43,67
2016-07-24,20,7,27,61,22,83,61,22,79,37,55,67,6,59,27,59,33,53,14,0,21,46,74,5,39,52,49,11,0,15,58,49,46,37,20,21,4,7,24,12,47,46,29,73,27,60,44,5,58,8,18,0,84,20,45,32,28,63,24,13,5,62,0,59,58,43,45,71
2016-07-31,12,7,31,69,22,79,64,21,83,47,60,50,5,28,37,49,30,50,17,0,11,47,88,4,37,48,55,9,17,16,49,32,43,38,19,22,3,5,24,8,48,52,45,74,31,72,19,5,65,27,0,77,78,23,35,22,29,77,49,14,4,64,0,61,59,52,37,71
2016-08-07,33,9,32,57,24,76,65,27,66,41,51,75,3,10,9,31,39,53,22,20,11,39,82,1,31,40,44,10,7,12,53,36,50,35,19,8,3,3,27,6,41,47,34,62,30,48,15,4,50,26,38,32,77,14,12,17,27,72,30,10,4,61,0,73,61,47,33,67
2016-08-14,23,13,22,54,23,72,62,22,65,47,52,65,5,54,19,35,42,49,5,0,11,57,77,3,33,45,36,11,18,14,52,44,39,37,24,33,3,3,21,11,41,64,54,65,30,57,16,4,51,15,38,16,75,21,24,11,26,58,56,5,4,60,0,84,59,65,36,60
2016-08-21,20,8,37,79,25,81,68,22,61,36,58,71,12,42,9,27,53,48,17,39,53,39,74,5,38,45,44,9,17,18,51,45,40,37,39,23,4,4,37,15,46,49,48,69,24,48,49,3,76,13,28,23,84,3,12,27,28,66,29,12,4,62,0,30,58,51,33,63
2016-08-28,17,8,21,82,25,79,63,21,71,44,57,60,17,61,26,30,53,45,36,27,30,49,67,5,25,50,56,9,10,21,53,54,48,35,64,11,4,5,36,9,41,56,38,69,26,54,17,3,78,8,43,22,87,6,22,86,27,56,64,20,4,64,0,81,59,62,34,74
2016-09-04,12,11,23,76,22,77,61,23,77,33,60,67,10,45,26,22,52,42,7,9,31,41,72,4,33,45,43,7,7,15,57,55,45,35,91,11,4,4,31,12,47,50,53,66,27,50,36,5,92,10,18,15,79,6,0,21,28,62,42,11,4,61,18,54,58,43,31,62
2016-09-11,24,8,28,71,16,80,65,26,86,40,59,70,6,13,77,14,56,39,14,18,49,48,67,4,42,47,41,14,22,18,58,61,57,36,16,17,6,2,38,13,42,42,65,65,25,63,17,7,66,13,52,43,86,22,22,35,29,69,82,12,4,59,18,38,63,87,31,71
2016-09-18,13,8,36,75,19,83,63,29,68,45,59,92,4,31,34,36,51,46,11,9,60,45,77,3,38,53,42,12,23,17,52,47,45,36,13,13,5,11,57,13,48,39,52,70,27,43,49,6,100,21,17,29,82,9,22,20,29,52,32,10,5,59,0,52,58,87,33,66
2016-09-25,19,8,41,72,24,84,63,28,74,38,57,60,9,100,85,40,54,44,11,45,59,48,72,3,47,49,47,14,25,18,55,65,48,35,13,9,4,9,45,13,44,38,55,63,22,51,31,7,62,11,43,36,79,12,43,30,31,59,27,8,4,64,35,70,52,75,37,67
2016-10-02,13,6,42,80,20,81,62,17,77,38,63,69,10,39,42,36,56,40,18,9,39,49,71,5,59,45,52,14,16,19,60,58,65,37,13,16,4,9,28,12,45,40,51,58,31,68,45,6,77,16,8,42,75,9,32,25,35,65,45,15,5,59,0,65,62,76,38,73
2016-10-09,29,7,34,72,22,73,63,25,72,37,60,69,8,46,41,44,56,49,9,0,57,38,67,4,56,43,51,13,12,18,54,58,62,33,13,17,7,7,38,12,44,43,40,59,25,67,30,6,55,11,17,56,80,9,31,49,35,51,44,15,4,56,17,91,60,49,34,76
2016-10-16,9,8,43,92,21,78,65,23,78,34,55,72,11,21,50,31,58,48,15,9,38,43,78,4,76,50,52,13,16,16,58,62,57,36,14,24,9,8,35,14,44,48,57,60,27,45,30,6,61,15,25,35,86,24,31,15,33,66,53,16,4,56,17,73,54,56,36,76
2016-10-23,39,11,31,87,21,79,64,25,75,37,55,64,14,42,33,42,55,47,7,17,28,40,68,2,62,44,47,14,9,18,60,52,54,35,14,15,9,8,47,13,44,35,79,61,27,69,57,6,88,16,25,55,77,18,0,34,30,62,70,21,4,55,85,45,55,68,35,64
2016-10-30,29,11,37,79,24,82,64,20,66,40,59,69,6,43,58,48,59,40,4,35,29,46,69,4,37,45,60,13,0,18,60,56,58,32,14,19,10,9,37,11,46,41,37,61,31,67,54,5,57,11,17,35,86,21,11,30,33,71,27,16,4,57,17,74,57,71,37,68
2016-11-06,26,73,27,66,24,77,60,62,56,34,48,69,62,20,39,26,75,41,8,100,54,50,61,3,59,38,88,20,100,64,52,71,44,31,11,17,100,6,42,12,48,37,38,63,20,100,45,9,37,16,16,20,78,23,40,33,38,43,46,46,4,54,16,56,65,52,35,99
2016-11-13,22,100,23,71,25,81,63,27,85,44,47,80,70,25,66,34,58,44,7,53,67,49,81,3,54,46,81,29,25,36,59,74,56,35,12,21,17,8,35,16,51,43,60,64,27,66,37,7,56,15,33,14,91,21,21,30,33,68,58,48,4,59,34,69,55,66,42,93
2016-11-20,23,93,19,67,22,76,52,19,58,42,42,59,30,35,43,43,44,38,7,28,30,34,53,3,38,35,59,12,10,18,43,41,42,26,9,9,6,6,25,8,39,50,21,54,17,52,32,6,62,10,0,7,67,13,11,20,26,57,37,24,4,56,0,76,55,50,30,58
