date,applicant ,arrival,asylum ,benefit,border ,control ,business ,citizenship ,compensation ,consulate ,contract ,customs ,deportation ,diaspora ,discriminate ,earning ,economy ,embassy ,emigrant ,emigrate ,emigration ,employer ,employment ,foreigner,GDP,hiring ,illegal ,immigrant ,immigrate ,immigration ,income ,inflation ,internship ,job,labor,layoff,legalization ,migrant,migrate,migration ,minimum ,nationality ,naturalization ,passport,payroll,pension,quota,recession ,recruitment,refugee ,remuneration ,required documents ,salary,Schengen,smuggler ,smuggling,tax,tourist ,unauthorized ,undocumented ,unemployment ,union,unskilled,vacancy,visa,waiver,wage,welfare
6/26/16,28,14,47,72,67,82,63,100,62,91,77,31,8,23,31,59,76,71,32,100,100,41,28,6,100,76,37,92,100,100,38,42,42,47,50,8,14,52,53,70,32,99,64,78,41,46,78,11,81,50,53,61,59,53,10,50,71,81,13,0,37,46,36,69,56,38,32,89
7/3/16,33,21,44,74,58,73,66,65,47,53,82,32,10,31,0,41,61,61,0,65,38,37,27,9,56,50,35,46,23,55,35,36,45,47,56,9,15,28,65,55,33,91,54,65,40,49,48,7,94,39,42,12,57,45,38,43,67,97,12,14,29,40,19,66,53,50,30,70
7/10/16,38,20,61,70,63,82,59,39,46,77,80,36,15,18,25,68,52,72,34,44,43,42,26,5,44,70,42,57,30,57,38,41,42,46,46,0,23,44,59,46,31,74,27,58,36,53,61,3,87,46,60,35,56,26,54,29,63,93,7,0,22,36,13,59,52,53,32,70
7/17/16,64,15,51,65,65,82,60,34,59,53,79,31,19,41,18,83,55,58,18,43,10,46,31,4,55,80,38,17,19,51,36,38,39,46,54,9,32,43,69,52,33,54,65,52,34,48,42,4,85,48,67,6,59,21,40,41,60,89,13,0,19,37,20,66,54,34,29,68
7/24/16,33,16,60,74,65,76,60,25,48,50,83,35,10,32,17,62,56,63,17,32,30,41,26,5,37,60,36,39,18,55,35,34,29,44,50,13,0,24,53,51,34,57,35,56,53,52,67,4,87,58,86,66,61,35,28,54,76,94,27,0,19,37,19,75,55,49,32,68
7/31/16,29,19,54,74,66,82,63,31,51,62,83,38,24,19,18,70,57,67,0,20,36,42,27,3,41,73,36,54,6,51,39,44,41,47,41,5,16,34,64,33,34,51,36,58,40,53,37,4,86,81,48,37,58,26,29,66,75,100,5,0,20,34,100,52,53,55,30,72
8/7/16,6,21,48,69,55,79,57,25,48,64,78,26,5,30,27,43,47,56,18,23,26,38,25,4,39,72,30,30,0,37,34,34,39,43,43,5,16,29,54,33,34,51,51,50,39,47,23,2,82,94,64,44,51,22,58,26,61,85,13,16,16,34,7,64,55,39,30,61
8/14/16,42,23,52,66,60,74,56,33,46,78,75,26,9,31,9,72,52,57,18,47,42,34,23,4,34,63,32,15,13,40,35,40,35,43,44,0,0,41,38,40,29,35,52,48,38,45,43,3,82,51,65,45,52,25,12,31,58,77,13,0,18,32,0,55,47,49,27,66
8/21/16,43,22,54,68,53,73,60,21,44,51,76,38,5,26,9,70,50,61,18,36,25,40,27,6,51,54,41,28,12,40,35,28,40,44,50,18,8,41,50,48,34,47,43,46,44,45,28,1,87,51,30,44,57,20,6,30,63,90,8,15,18,34,13,62,51,44,31,43
8/28/16,34,20,54,72,73,72,59,30,45,69,78,34,7,43,34,59,48,56,0,51,20,37,25,6,33,61,36,33,24,46,38,32,45,44,74,9,8,40,67,44,31,52,35,48,42,45,54,3,73,45,65,42,59,17,34,74,73,77,12,30,18,36,26,56,49,44,29,62
