date,consulate,doctor,economy,embassy,emigrant,emigrate,emigration,employer,job,medical school,medicine,migrant,migrate,migration,naturalization,nurse,nursing school,passport,unemployment,visa
1/1/10,93,26,40,100,0,0,0,68,86,94,69,93,74,65,0,96,65,23,93,82
2/1/10,71,28,44,92,93,0,0,61,98,100,72,100,79,32,0,100,100,25,40,73
3/1/10,78,26,42,94,0,0,52,33,90,68,52,23,29,58,100,66,49,25,48,73
4/1/10,61,22,23,90,100,0,0,52,97,54,53,54,0,68,0,50,74,26,28,82
5/1/10,30,27,12,75,0,0,60,19,100,66,49,0,50,20,38,86,40,31,21,81
6/1/10,79,22,46,74,0,0,0,45,96,35,68,70,44,59,0,59,100,24,55,80
7/1/10,47,24,73,79,0,0,0,30,95,41,65,83,13,100,30,85,32,28,77,76
8/1/10,36,24,37,77,0,0,0,50,83,83,61,21,0,74,30,77,77,28,38,60
9/1/10,100,22,44,71,0,0,0,48,82,66,61,0,69,72,0,72,47,23,81,65
10/1/10,73,15,39,64,0,0,0,51,82,11,54,0,94,48,62,77,7,24,28,64
11/1/10,12,18,46,54,76,0,92,49,77,10,48,81,90,98,30,62,13,22,32,59
12/1/10,25,18,30,50,0,0,100,37,63,11,43,44,14,50,0,51,14,16,23,56
1/1/11,37,28,30,63,0,100,19,32,93,90,59,16,41,54,60,85,20,32,58,72
2/1/11,57,26,34,66,31,0,38,51,87,46,62,25,42,60,49,92,38,27,55,75
3/1/11,63,23,34,71,0,0,50,48,92,40,52,22,33,37,43,69,41,27,51,62
4/1/11,83,31,14,64,0,99,0,43,89,45,45,24,67,27,24,60,17,26,32,66
5/1/11,55,26,13,58,0,0,34,52,87,63,46,30,57,42,33,53,25,29,26,65
6/1/11,28,29,46,52,0,42,16,54,84,35,59,7,22,70,10,54,17,28,37,59
7/1/11,42,27,44,55,0,0,0,47,84,43,51,43,59,54,9,54,19,27,51,59
8/1/11,34,28,38,52,0,0,27,25,76,63,58,24,68,49,9,80,44,29,35,59
