date,applicant,arrival,benefit,control,border,business,citizenship,compensation,consulate,contract,customs,deportation,diaspora,discriminate,doctor,earning,economy,embassy,emigrant,emigrate,emigration,employer,employment,foreigner,GDP,hospital,hiring,illegal,immigrant,immigrate,immigration,income,inflation,internship,job,labor,layoff,legalization,medical school,medicine,migrant,migrate,migration,minimum,nationality,naturalization,nurse,nursing school,passport,payroll,pension,quota,recession,recruitment,refugee,remuneration,required documents,salary,tax,tourist,unauthorized,undocumented,unemployment,union,unskilled,vacancy,visa,waiver,wage,welfare
2010-01-01,82,30,34,79,72,90,38,57,93,84,67,56,56,54,26,23,40,100,0,0,0,68,88,8,32,75,38,59,38,89,73,62,21,17,86,75,0,16,94,69,93,74,65,49,4,0,96,65,23,46,64,51,40,79,0,37,44,43,30,68,0,0,93,61,93,75,82,20,75,75
2010-02-01,35,19,37,100,59,93,62,53,71,97,72,0,30,0,28,61,44,92,93,0,0,61,89,13,46,82,43,99,64,64,74,66,21,33,98,67,0,18,100,72,100,79,32,62,13,0,100,100,25,58,56,55,74,91,0,39,0,31,36,79,43,0,40,63,100,100,73,86,51,56
2010-03-01,32,6,46,79,69,96,43,83,78,79,47,0,14,0,26,11,42,94,0,0,52,33,100,16,62,84,41,58,73,0,69,63,16,23,90,72,0,16,68,52,23,29,58,41,24,100,66,49,25,53,33,100,77,93,0,0,0,28,29,68,39,0,48,66,0,59,73,97,53,51
2010-04-01,66,31,19,64,35,72,22,41,61,57,56,0,0,0,22,53,23,90,100,0,0,52,94,10,31,72,49,38,52,0,65,52,10,12,97,77,61,19,54,53,54,0,68,61,14,0,50,74,26,29,60,59,23,100,14,0,100,31,20,73,0,0,28,74,0,70,82,46,55,9
2010-05-01,37,13,14,62,30,65,29,56,30,53,58,0,31,0,27,26,12,75,0,0,60,19,79,19,18,74,55,37,25,100,100,48,8,35,100,43,60,0,66,49,0,50,20,47,23,38,86,40,31,38,68,38,22,69,7,0,0,48,25,42,23,0,21,73,0,47,81,56,35,42
2010-06-01,57,9,21,91,42,93,44,42,79,81,54,56,41,54,22,11,46,74,0,0,0,45,100,29,53,80,47,29,30,0,56,42,7,14,96,63,53,49,35,68,70,44,59,44,21,0,59,100,24,42,71,17,10,97,0,0,0,51,28,69,0,0,55,57,0,79,80,40,85,45
2010-07-01,65,27,37,98,56,95,85,63,47,84,73,50,12,0,24,41,73,79,0,0,0,30,79,15,47,73,44,53,100,26,79,56,13,27,95,70,0,0,41,65,83,13,100,65,33,30,85,32,28,53,70,15,53,81,11,0,0,47,37,77,36,0,77,64,0,91,76,44,97,74
2010-08-01,29,29,32,81,39,79,17,95,36,99,54,100,37,0,24,10,37,77,0,0,0,50,67,15,100,72,46,50,33,26,65,57,22,21,83,59,0,15,83,61,21,0,74,65,22,30,77,77,28,51,60,15,18,64,0,33,0,39,32,78,18,0,38,53,0,83,60,27,73,33
2010-09-01,54,20,30,87,46,95,30,100,100,77,95,0,0,0,22,43,44,71,0,0,0,48,93,16,60,89,39,40,64,56,33,54,10,10,82,65,0,31,66,61,0,69,72,54,8,0,72,47,23,45,78,64,56,38,0,69,0,41,33,68,0,0,81,61,0,75,65,75,64,50
2010-10-01,37,14,20,74,49,86,58,78,73,91,100,0,0,0,15,21,39,64,0,0,0,51,99,11,39,61,36,45,55,0,68,43,7,9,82,47,0,30,11,54,0,94,48,61,30,62,77,7,24,39,75,31,9,54,0,100,0,32,25,62,18,0,28,54,0,55,64,36,56,41
