years,country,migration,iso3_d,AZE,DEU,KAZ,RUS,TJK,UKR,USA,road_quality_destination,railroad_quality_destination,airtr_quality_destination,electricity_quality_destination,fixedtel_destination,mobile_destination,technology_destination,internet_destination,fxinternet_destination,road_origin,railroad_origin,airtr_origin,electr_origin,fexedtel_origin,mobile_origin,technology_origin,internet_origin,fxinternet_origin,country_code_merge,year,iso3_o,iso3num_o,iso3num_d,country_exists_o,country_exists_d,gmt_offset_2020_o,gmt_offset_2020_d,contig,dist,distw,distcap,distwces,dist_source,comlang_off,comlang_ethno,comcol,comrelig,col45,legal_old_o,legal_old_d,legal_new_o,legal_new_d,comleg_pretrans,comleg_posttrans,transition_legalchange,heg_o,heg_d,col_dep_ever,col_dep,col_dep_end_year,col_dep_end_conflict,empire,sibling_ever,sibling,sever_year,sib_conflict,pop_o,pop_d,gdp_o,gdp_d,gdpcap_o,gdpcap_d,pop_source_o,pop_source_d,gdp_source_o,gdp_source_d,gdp_ppp_o,gdp_ppp_d,gdpcap_ppp_o,gdpcap_ppp_d,pop_pwt_o,pop_pwt_d,gdp_ppp_pwt_o,gdp_ppp_pwt_d,gatt_o,gatt_d,wto_o,wto_d,eu_o,eu_d,rta,rta_coverage,rta_type,entry_cost_o,entry_cost_d,entry_proc_o,entry_proc_d,entry_time_o,entry_time_d,entry_tp_o,entry_tp_d,tradeflow_comtrade_o,tradeflow_comtrade_d,tradeflow_baci,manuf_tradeflow_baci,tradeflow_imf_o,tradeflow_imf_d,GTI1,GTI2,GTI3,GTI4,GTI5,GTI6,GTI7,GTI8,GTI9,GTI10,GTI11,GTI12,GTI13,GTI14,GTI15,GTI16,GTI17,GTI18,GTI19,GTI20,GTI21,GTI22,GTI23,GTI24,GTI25,GTI26,GTI27,GTI28,GTI29,GTI30,GTI31,GTI32,GTI33,GTI34,GTI35,GTI36,GTI37,GTI38,GTI39,GTI40,GTI41,GTI42,BX.GSR.CCIS.CD,BX.GSR.CCIS.ZS,BX.TRF.PWKR.CD.DT,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.LOSS.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,EG.USE.ELEC.KH.PC,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.H2O.FWTL.K3,ER.H2O.FWTL.ZS,ER.H2O.INTR.K3,ER.H2O.INTR.PC,IE.PPI.ENGY.CD,IE.PPI.ICTI.CD,IE.PPI.TRAN.CD,IE.PPI.WATR.CD,IE.PPN.ENGY.CD,IE.PPN.TRAN.CD,IE.PPN.WATR.CD,IP.IDS.NRCT,IP.IDS.RSCT,IP.TMK.NRCT,IP.TMK.RSCT,IQ.SPI.PIL5,IS.AIR.DPRT,IS.AIR.GOOD.MT.K1,IS.AIR.PSGR,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,IS.RRS.TOTL.KM,IS.SHP.GCNW.XQ,IS.SHP.GOOD.TU,IT.CEL.SETS,IT.CEL.SETS.P2,IT.MLT.MAIN,IT.MLT.MAIN.P2,IT.NET.BBND,IT.NET.BBND.P2,IT.NET.SECR,IT.NET.SECR.P6,IT.NET.USER.ZS,LP.LPI.INFR.XQ,NY.GDP.MKTP.KD,SL.UEM.TOTL.ZS,SP.POP.TOTL,TM.VAL.ICTG.ZS.UN,TX.VAL.ICTG.ZS.UN,oBX.GSR.CCIS.CD,oBX.GSR.CCIS.ZS,oBX.TRF.PWKR.CD.DT,oEG.ELC.COAL.ZS,oEG.ELC.HYRO.ZS,oEG.ELC.LOSS.ZS,oEG.ELC.NGAS.ZS,oEG.ELC.NUCL.ZS,oEG.ELC.PETR.ZS,oEG.USE.ELEC.KH.PC,oER.H2O.FWAG.ZS,oER.H2O.FWDM.ZS,oER.H2O.FWIN.ZS,oER.H2O.FWTL.K3,oER.H2O.FWTL.ZS,oER.H2O.INTR.K3,oER.H2O.INTR.PC,oIE.PPI.ENGY.CD,oIE.PPI.ICTI.CD,oIE.PPI.TRAN.CD,oIE.PPI.WATR.CD,oIE.PPN.ENGY.CD,oIE.PPN.TRAN.CD,oIE.PPN.WATR.CD,oIP.IDS.NRCT,oIP.IDS.RSCT,oIP.TMK.NRCT,oIP.TMK.RSCT,oIQ.SPI.PIL5,oIS.AIR.DPRT,oIS.AIR.GOOD.MT.K1,oIS.AIR.PSGR,oIS.RRS.GOOD.MT.K6,oIS.RRS.PASG.KM,oIS.RRS.TOTL.KM,oIS.SHP.GCNW.XQ,oIS.SHP.GOOD.TU,oIT.CEL.SETS,oIT.CEL.SETS.P2,oIT.MLT.MAIN,oIT.MLT.MAIN.P2,oIT.NET.BBND,oIT.NET.BBND.P2,oIT.NET.SECR,oIT.NET.SECR.P6,oIT.NET.USER.ZS,oLP.LPI.INFR.XQ,oNY.GDP.MKTP.KD,oSL.UEM.TOTL.ZS,oSP.POP.TOTL,oTM.VAL.ICTG.ZS.UN,oTX.VAL.ICTG.ZS.UN
2011,Azerbaijan,23,AZE,1,0,0,0,0,0,0,3.823988676,3.878594398,4.868334293,4.106383324,15.82068348,87.82800293,4.751653671,41.76718903,1.132224321,2.740215302,2.788116932,2.953366041,2.287801981,9.089927673,81.84894562,3.54306531,40.0271225,0.095618546,AZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZE,2011,KGZ,417,31,1,1,6,4,0,2067.73291,2125.873,2067.73291,2114.867,1,0,0,1,0.653800011,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,5514.6,9173.082,6197766.144,65951625.22,1.123999953,7.190000057,1,1,1,1,16105958.46,144514131.5,2.921,15.754,5506.601074,9146.379883,19088114,155538160,0,0,1,0,0,0,1,1,4,3.5,2.7,4,6,14,8,18,14,1865.18,923.387,2143.158,1710.046,1865.18396,923.5,12.33333302,29.58333397,4.25,46.58333206,0,19.33333397,26.33333397,36.41666794,45.91666794,10.66666698,15.41666698,0,12.66666698,18.58333397,44.08333206,37.25,10.33333302,21.66666603,6,47.25,5,29.58333397,68.08333588,8.333333015,0,23.66666603,48.5,36.91666794,3.666666746,28.83333397,0,20,0,0,23.08333397,33.58333206,33.41666794,20.91666603,59.33333206,29.91666603,13.58333302,4.083333492,74563000,2.450708429,1893080000,0,13.1861634,19.57721494,85.1483197,0,1.665516902,1705.424633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,608,27,0,0,0,15082,9.5921,1348414,7845,660,2079.3,0,0,10120105,110.6472854,1683876,18.41051138,973869,10.64771177,45,4.905657662,50,2.42,52077032844,5.42,9173082,3.458040033,0.003807888,16628943,1.933036159,1708694028,4.189207019,93.27747724,22.35783085,1.009367991,0,1.52394775,1649.258332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,17,6679,271,0,9274,1.486294,526018.0125,798.3,82.8,417.2,0,0,6277108,113.758549,502020,9.097990149,39040,0.707512719,8,1.45069452,17.5,2.49,5079922897,8.53,5514600,3.82216916,0.238271609
2012,Azerbaijan,10,AZE,1,0,0,0,0,0,0,3.757130623,3.882966042,5.030099392,4.462067604,16.32602692,99.04457092,4.631509781,35.99000168,5.442009449,2.841402292,2.720993042,2.968539476,3.067490578,9.414679527,91.85968018,3.493830442,20,0.288701832,AZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZE,2012,KGZ,417,31,1,1,6,4,0,2067.73291,2125.873,2067.73291,2114.867,1,0,0,1,0.653800011,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,5607.2,9295.784,6605139.968,68730904.58,1.177999973,7.394000053,1,1,1,1,16388179.55,150414031.9,2.923,16.181,5594.10791,9264.916992,18061590,154490016,0,0,1,0,0,0,1,1,4,2.8,2.3,4,6,14,8,18,14,4905.667,2240.713,5275.391,4311.342,4905.671875,2240.800049,10.08333302,25.75,16.66666603,31.5,16.25,15.91666698,7.916666508,51.08333206,42.91666794,10.66666698,15.08333302,8.333333015,7,5.583333492,29.66666603,44.75,13.58333302,27.83333397,2.583333254,28.08333397,14.58333302,26.25,52.83333206,20.83333397,0,24.33333397,33.91666794,44.83333206,26.41666603,4.5,0,38.5,0,0,33.83333206,16.91666603,23.91666603,7,33.66666794,49.83333206,6.75,17.16666603,95365000,1.98315818,1990180000,0,7.921524274,14.65112232,89.89037759,0,2.188098138,2052.650965,74.24394319,4.083542189,25.9732665,11.97,147.5046211,8.115,872.9763945,0,0,0,0,0,0,0,671,23,9648,3615,0,16597,13.0443,1560084,8212,591,2068.1,0,0,10125200,109.2880368,1724004,18.60832503,1369594,14.78294152,100,10.75756493,54.2,2.42,53224258122,5.19,9295784,3.314398147,0.003032805,13232665,1.340198527,2031374213,4.799578059,93.47969409,22.15849156,0.534018987,0,1.186708861,1809.102582,92.68929504,2.924281984,4.386422977,7.707,15.75107296,48.93,8726.280497,0,0,0,0,0,0,0,576,50,6995,230,0,7719,0.78235,494640.4268,922.7,75.8,417.2,0,0,6797852,120.9243102,488853,8.69601336,54614,0.971506923,38,6.777000999,19.8,2.49,5075444934,8.43,5607200,2.343275262,0.078879333
2013,Azerbaijan,22,AZE,1,0,0,0,0,0,0,4.023323536,3.940627813,5.042105675,4.651460648,18.09447479,108.7479019,4.758219242,50,10.72783756,2.482843637,2.298570156,2.939580917,2.904504776,8.901119232,104.8292313,3.620476723,20,0.296703994,AZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZE,2013,KGZ,417,31,1,1,6,4,0,2067.73291,2125.873,2067.73291,2114.867,1,0,0,1,0.653800011,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,5719.5,9416.598,7226303.488,73560481.79,1.263000011,7.811999798,1,1,1,1,18470586.53,161703059.6,3.229,17.172,5683.808105,9385.292969,19626012,156100320,0,0,1,0,0,0,1,1,4,2.7,1,4,3,10,7,14,10,4210.765,1767.107,4466.121,3547.539,4210.76416,1767.099976,12.25,24.08333397,20.5,28.33333397,20.33333397,24.33333397,22.08333397,59.25,38,11.33333302,19.66666603,12.33333302,19.16666603,7.25,22.66666603,43.08333206,15.75,7.583333492,4.333333492,19.75,8.666666985,33.66666794,43.83333206,10.66666698,0,28.75,29.75,37.08333206,35.75,7.75,0,48.66666794,0,0,35.41666794,32.08333206,19.75,18.08333397,34.5,35.16666794,14.58333302,25,113861000,2.756308941,1733168000,0,6.375781451,14.04898518,92.9648026,0,0.077074591,2092.536521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,925,54,10503,3556,0,15886,17.9216,1651710,7958,609,2068.1,0,0,10130102,107.9339038,1757855,18.72954018,1712177,18.24285161,158,16.77852171,73.00000137,2.567143,56334372810,4.97,9416801,2.41319662,0.038362348,21877873,2.066770528,2277998114,5.609877953,93.47655414,20.27692527,0.192705731,0,0.72086218,1887.020071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,14,7526,326,0,12189,0.59035,771165,1002,0,417,0,0,6737487,117.555938,461277,8.048379225,136200,2.376422953,44,7.692845654,23,2.2679855,5629453576,8.33,5719600,2.214600984,0.055729993
2014,Azerbaijan,25,AZE,1,0,0,0,0,0,0,3.985693932,3.933939219,5.098621845,4.847829819,18.40045738,107.4721298,5.045562744,54.20000076,13.79861832,2.529613018,2.500800848,3.089701176,2.684545279,8.972932816,124.7750702,3.570311546,21.72350883,2.623142004,AZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZE,2014,KGZ,417,31,1,1,6,4,0,2067.73291,2125.873,2067.73291,2114.867,1,0,0,1,0.653800011,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,5835.5,9535.079,7468096.512,75244167.17,1.279999971,7.890999794,1,1,1,1,19557845.56,167890075.3,3.352,17.608,5774.565918,9503.771484,20881824,155079552,0,0,1,0,0,0,1,1,4,2.3,3.1,4,3,10,5,14,8,3739.847,1702.69,3974.986,3725.5,3739.8479,1702.599976,18.41666603,29.16666603,22.58333397,29.41666603,23.75,29.25,11.33333302,75.58333588,37.33333206,13,26.91666603,2.5,18.41666603,35,26.58333397,37.41666794,19.75,11.66666698,5.75,20.5,21.66666603,40.5,39,25.66666603,3.5,41.83333206,40.33333206,30.16666603,39.33333206,12.16666698,0,42.58333206,0,0,28.91666603,43.91666794,27.08333397,45.41666794,22.91666603,37.91666794,46.83333206,23.33333397,127119000,2.95820892,1846424000,0,5.257198318,13.59996765,93.86120996,0,0.15771595,2202.393918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10649,3683,0,21910,385.14865,1770192,7371,612,2066.4,0,0,10552520,111.0134613,1795448,18.88827475,1898070,19.96786744,219,22.96782229,75.00001564,2.714286,57910375018,4.91,9535079,2.965310291,0.007817187,20849181,2.31464387,2242827292,7.363436728,91.2572056,23.73044194,0.80290969,0,0.576447982,1941.221832,0,0,0,0,0,0,0,40000000,0,0,0,0,0,0,714,48,6330,372,0,17388,0.237168,712284,1010,0,424,0,0,7563444,129.4106012,443184,7.582882599,170706,2.920781339,82,14.05192357,28.3,2.045971,5855984962,8.05,5835500,2.037129014,0.056549192
2015,Azerbaijan,7,AZE,1,0,0,0,0,0,0,3.959028006,3.814345121,5.032616138,4.897021294,18.6739254,107.6134109,5.003559589,58.70000076,17.03268242,2.72516942,2.639318705,3.181883574,2.857395649,8.31497097,121.4498215,3.747436047,23.39999962,0.961614013,AZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZE,2015,KGZ,417,31,1,1,6,4,0,2067.73291,2125.873,2067.73291,2114.867,1,0,0,1,0.653800011,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,5956.9,9649.341,6678178.304,53074370.56,1.121000051,5.5,1,1,1,1,20534456.2,171563099.6,3.447,17.78,5865.400879,9617.484375,21694070,140595392,0,0,1,0,0,0,1,1,4,2.1,1.2,4,2,10,3,14,5,3802.816,1600.374,4268.779,3957.977,3802.812012,1604.099976,24.83333397,36.25,24.5,34.41666794,36.75,32.41666794,20.08333397,82.91666412,46.16666794,12.91666698,27.41666603,17,15.16666698,56.41666794,31.66666603,36.58333206,23.58333397,11.08333302,8.833333015,22.25,28.58333397,46.58333206,33.41666794,23.25,18.08333397,52.25,47.08333206,38,37.91666794,17.16666603,1.333333373,52.5,0,0,27.66666603,58.58333206,29.83333397,44.41666794,20.58333397,37.5,65.5,37.33333206,86814000,1.953516505,1269964000,0,6.630751782,0,86.08230719,0,6.509235256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,11,9305,2801,0,23781,686.94149,1803112,6210,495,2067.8,0,0,10697132,111.1650782,1796027,18.66439358,1899456,19.73923241,321,33.26652048,77,2.732143,58518171256,4.96,9649341,2.840696679,0.019239899,42524386,4.981863628,1687701982,13.21565618,85.18802763,0,1.304681504,0,0.291634689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,21,6330,341,0,20962,0.06929,967629,918,41,424,0,0,7579439,127.1905538,408037,6.847268246,211521,3.549533564,136,22.83066696,30.24704278,2.0029855,6082952718,7.56,5956900,2.799089538,0.069321085
2016,Azerbaijan,5,AZE,1,0,0,0,0,0,0,3.959028006,3.814345121,5.032616138,4.897021294,18.86988258,110.905365,5.003559589,61,19.83281517,2.55556941,2.426702499,2.905791998,2.928073406,7.877223492,134.4608612,3.580476284,28.29999924,4.158264637,AZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZE,2016,KGZ,417,31,1,1,6,4,0,2067.73291,2125.873,2067.73291,2114.867,1,0,0,1,0.653800011,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,6082.7,9762.274,6551287.808,37847715.84,1.077000022,3.877000093,1,1,1,1,21600596.55,168431012.8,3.551,17.253,5955.733887,9725.375977,23261980,138429136,0,0,1,0,0,0,1,1,4,2,1.3,4,2,10,3,14,5,706.974,1087.369,855.633,838.263,706.9799805,1087.400024,22.25,33.5,30.25,33.41666794,55.08333206,35,18.16666603,72.41666412,44,12.66666698,23.75,13.16666698,20.25,41.08333206,42.91666794,33.83333206,22.91666603,9.75,10.5,18.41666603,25,41.75,28.25,32.5,15.16666698,56.58333206,46.75,38.83333206,26.16666603,15.5,5.083333492,62.58333206,23.16666603,21.75,23.25,53.08333206,21.83333397,49.41666794,16.41666603,30.08333397,54.66666794,31.91666603,72838000,1.667425926,643148000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,22,8747,2817,60,24009,732.789755,1961639,5192,448,2074,0,0,10189000,104.6523726,1700233,17.46328565,1803662,18.52561662,994,101.8670989,78.2,2.75,56725409467,5,9757812,2.744462416,0.022704111,65799849,7.823715565,1994607958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,17,6085,269,85,23120,0.088343,1015750,807,40.8,424,0,0,7613528,125.3393872,382149,6.291212364,240873,3.965424993,257,42.27321326,37,1.96,6346700783,7.21,6079500,3.130007198,0.371673953
2017,Azerbaijan,2,AZE,1,0,0,0,0,0,0,4.437806606,4.152112484,5.321289063,5.110563755,18.68412971,111.2826309,4.995773315,77,19.76010513,2.488281965,2.373281956,2.882899284,3.238278627,7.14910078,132.7972107,3.443375826,30.24704361,3.706052065,AZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZE,2017,KGZ,417,31,1,1,6,4,0,2067.73291,2125.873,2067.73291,2114.867,1,0,0,1,0.653800011,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,6198.2,9854.033,7702934.8,40865558.91,1.243000031,4.146999836,,,,,31280403.48,139152809.9,5.047,14.121,6045.117188,9827.588867,24668016,145533712,0,0,1,0,0,0,1,1,4,2.1,1.6,4,3,10,3.5,14,6.5,1121.961,1156.841,1201.134,1157.077,1121.963989,1156.900024,25.41666603,37.58333206,35.33333206,36.58333206,52.08333206,44.83333206,13.5,61.33333206,45.41666794,14.83333302,26.33333397,25.16666603,25.75,16.91666603,48.66666794,32.08333206,21.58333397,16.25,19,22.83333397,44.58333206,55.25,28.33333397,22.58333397,34.16666794,51.08333206,42.83333206,42.58333206,25,18.58333397,19.16666603,69.33333588,47.66666794,53.91666794,18.41666603,66.16666412,20.08333397,49.25,14.5,37.83333206,33.41666794,33.75,66296000,1.414031408,1133371000,0,0,0,0,0,0,0,72.52613131,3.517556488,23.9563122,12.7816,157.5058534,8.115,823.5206844,0,0,0,0,0,0,0,825,114,9073,3077,70,20699,61.6255,2331308,4633,467,2132,0,0,10127000,102.8610548,1688325,17.14850305,1805214,18.3357575,2557,259.4876636,79,2.8,56812548004,5,9854033,3.74630748,0.019036279,39813681,4.833165121,2485778060,0,0,0,0,0,0,0,92.68929504,2.924281984,4.386422977,7.707,15.75107296,48.93,7894.227356,0,0,0,0,0,0,0,502,11,6989,519,85,27055,0.02165,1122951,935,43,424,0,0,8467966,136.8066442,362288,5.853047296,258013,4.16840274,639,103.0944468,38.19903776,2.17,6647530416,6.89,6198200,3.655667962,0.146529914
2018,Azerbaijan,9,AZE,1,0,0,0,0,0,0,4.781158924,4.689208031,5.611134052,5.491449356,17.51731873,106.2845688,5.21000576,78.19999695,18.58293533,2.650644302,2.449175596,3.082779646,3.649217606,6.594243526,131.3766479,3.460288048,34.5,4.076120853,AZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZEAZE,2018,KGZ,417,31,1,1,6,4,0,2067.73291,2125.873,2067.73291,2114.867,1,0,0,1,0.653800011,0,2,2,1,1,1,1,0,0,0,0,0,,,,1,1,,,6322.8,9939.771,8271108.638,47112941.18,1.307999969,4.739999771,,,,,33246519.09,144681286.3,5.258,14.556,,,,,0,0,1,0,0,0,1,1,4,1.9,1.3,4,3,10,3.5,14,6.5,1893.098,2049.164,2067.876,1748.153,1620.234009,2049.100098,31,39.16666794,45.83333206,36.75,60,65.75,12.58333302,54.75,41.33333206,13.16666698,23,16.75,28.16666603,13.33333302,54.75,31.83333397,26,35.08333206,52.08333206,49.58333206,43.41666794,62.08333206,30.75,18,45.75,62.5,39.75,53.41666794,25.16666603,10.58333302,44.83333206,56.08333206,46.83333206,53.91666794,21.66666603,64.25,21.66666603,56.08333206,13.58333302,45.08333206,22.5,29.58333397,52234879.43,1.082147342,1225790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,54,9254,3791,80,19960,44.0886,2279546,4492,466,2133.07,0,0,10339700,103.9214187,1681407,16.89934919,1890913,19.00503511,3274,329.383846,79.79999549,2.85,57664964444,4.9,9939771,4.573992421,0.022317699,0,0,2688570122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7728,552,70,8751,1.263266,1175000.704,949,35,424,0,0,8735246,138.5660601,331140,5.252830332,250612,3.975425244,1075,170.0196116,17.5,2.38,6897338635,6.79,6322800,3.851815148,0.139359784
2011,Germany,67,DEU,0,1,0,0,0,0,0,6.419997215,6.186187267,6.607145309,6.769693851,59.26977539,127.7890396,6.299530029,79.25817108,30.42596245,2.740215302,2.788116932,2.953366041,2.287801981,9.089927673,81.84894562,3.54306531,40.0271225,0.095618546,DEUDEUDEUDEUDEUDEUDEUDEUDEUDEUDEU,2011,KGZ,417,276,1,1,6,1,0,5016.01123,4848.92,4559.661133,4841.335,1,0,0,0,0.00014,0,2,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,5514.6,81797.676,6197766.144,3752110064,1.123999953,45.87099838,1,1,1,1,16105958.46,3427141298,2.921,42.693,5506.601074,80933.98438,19088114,3443508224,0,1,1,1,0,1,0,0,6,3.5,4.8,4,9,14,14.5,18,23.5,9650.918,17712.855,13434.627,6361.95,9650.916992,17228.83594,12.33333302,29.58333397,4.25,46.58333206,0,19.33333397,26.33333397,36.41666794,45.91666794,10.66666698,15.41666698,0,12.66666698,18.58333397,44.08333206,37.25,10.33333302,21.66666603,6,47.25,5,29.58333397,68.08333588,8.333333015,0,23.66666603,48.5,36.91666794,3.666666746,28.83333397,0,20,0,0,23.08333397,33.58333206,33.41666794,20.91666603,59.33333206,29.91666603,13.58333302,4.083333492,23594695994,9.223449542,15337123635,44.8562978,2.910109547,4.08396846,14.36511492,17.7809653,1.179458128,7281.272174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12066,41848,24657,181142,0,1021899.939,7716.761903,107042775.8,113317,85414,33575.872,82.01372063,18323980,90900000,112.4225954,51400000,63.57009243,27257096,33.7108193,118157,1471.903146,81.26999954,3.555,3.53E+12,5.82,80274983,8.00396293,4.639753681,16628943,1.933036159,1708694028,4.189207019,93.27747724,22.35783085,1.009367991,0,1.52394775,1649.258332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,17,6679,271,0,9274,1.486294,526018.0125,798.3,82.8,417.2,0,0,6277108,113.758549,502020,9.097990149,39040,0.707512719,8,1.45069452,17.5,2.435,5079922897,8.53,5514600,3.82216916,0.238271609
2012,Germany,86,DEU,0,1,0,0,0,0,0,6.153193951,5.742930889,6.451451778,6.690557957,55.40538788,127.0435791,6.175046921,81.85040283,31.5907917,2.841402292,2.720993042,2.968539476,3.067490578,9.414679527,91.85968018,3.493830442,20,0.288701832,DEUDEUDEUDEUDEUDEUDEUDEUDEUDEUDEUDEU,2012,KGZ,417,276,1,1,6,1,0,5016.01123,4848.92,4559.661133,4841.335,1,0,0,0,0.00014,0,2,4,1,3,0,0,0,0,0,0,0,,,,0,0,,,5607.2,80425.819,6605139.968,3533242368,1.177999973,43.93199921,1,1,1,1,16388179.55,3503682458,2.923,43.564,5594.10791,81066.23438,18061590,3475096576,0,1,1,1,0,1,0,0,6,2.8,5,4,9,14,14.5,18,23.5,16362.801,19879.307,18636.869,8033.658,16362.80273,19377.93945,10.08333302,25.75,16.66666603,31.5,16.25,15.91666698,7.916666508,51.08333206,42.91666794,10.66666698,15.08333302,8.333333015,7,5.583333492,29.66666603,44.75,13.58333302,27.83333397,2.583333254,28.08333397,14.58333302,26.25,52.83333206,20.83333397,0,24.33333397,33.91666794,44.83333206,26.41666603,4.5,0,38.5,0,0,33.83333206,16.91666603,23.91666603,7,33.66666794,49.83333206,6.75,17.16666603,25334533731,9.899622995,14637030444,46.01646898,3.487954492,3.937997621,12.4418407,15.94630907,1.222828265,7270.152523,1.78009171,19.32012128,78.89978701,27.88066667,26.05669782,107,1330.418465,0,0,0,0,0,0,0,12110,43323,20994,171297,0,985668.7692,7236.98063,105978474.5,110065,88796,33506,81.95198346,18449700,92400000,114.1126357,50100000,61.87276026,27956700,34.52611171,176527,2194.90449,82.34999847,4.26,3.54E+12,5.38,80425823,7.842577211,4.506822519,13232665,1.340198527,2031374213,4.799578059,93.47969409,22.15849156,0.534018987,0,1.186708861,1809.102582,92.68929504,2.924281984,4.386422977,7.707,15.75107296,48.93,8726.280497,0,0,0,0,0,0,0,576,50,6995,230,0,7719,0.78235,494640.4268,922.7,75.8,417.2,0,0,6797852,120.9243102,488853,8.69601336,54614,0.971506923,38,6.777000999,19.8,2.49,5075444934,8.43,5607200,2.343275262,0.078879333
