"","Country","Indicator","Year","Value"
"1","AZE","BX.GSR.CCIS.CD","X2010",84788000
"2","AZE","BX.GSR.CCIS.ZS","X2010",3.400157761
"3","AZE","BX.TRF.PWKR.CD.DT","X2010",1410296000
"4","AZE","EG.ELC.COAL.ZS","X2010",0
"5","AZE","EG.ELC.HYRO.ZS","X2010",18.41795831
"6","AZE","EG.ELC.LOSS.ZS","X2010",20.47033672
"7","AZE","EG.ELC.NGAS.ZS","X2010",81.45376804
"8","AZE","EG.ELC.NUCL.ZS","X2010",0
"9","AZE","EG.ELC.PETR.ZS","X2010",0.122928915
"10","AZE","EG.USE.ELEC.KH.PC","X2010",1603.431374
"11","AZE","ER.H2O.FWAG.ZS","X2010",NA
"12","AZE","ER.H2O.FWDM.ZS","X2010",NA
"13","AZE","ER.H2O.FWIN.ZS","X2010",NA
"14","AZE","ER.H2O.FWTL.K3","X2010",NA
"15","AZE","ER.H2O.FWTL.ZS","X2010",NA
"16","AZE","ER.H2O.INTR.K3","X2010",NA
"17","AZE","ER.H2O.INTR.PC","X2010",NA
"18","AZE","IE.PPI.ENGY.CD","X2010",NA
"19","AZE","IE.PPI.ICTI.CD","X2010",NA
"20","AZE","IE.PPI.TRAN.CD","X2010",NA
"21","AZE","IE.PPI.WATR.CD","X2010",NA
"22","AZE","IE.PPN.ENGY.CD","X2010",NA
"23","AZE","IE.PPN.TRAN.CD","X2010",NA
"24","AZE","IE.PPN.WATR.CD","X2010",NA
"25","AZE","IP.IDS.NRCT","X2010",32
"26","AZE","IP.IDS.RSCT","X2010",27
"27","AZE","IP.TMK.NRCT","X2010",NA
"28","AZE","IP.TMK.RSCT","X2010",NA
"29","AZE","IQ.SPI.PIL5","X2010",NA
"30","AZE","IS.AIR.DPRT","X2010",9885
"31","AZE","IS.AIR.GOOD.MT.K1","X2010",7.8084
"32","AZE","IS.AIR.PSGR","X2010",796698
"33","AZE","IS.RRS.GOOD.MT.K6","X2010",8250
"34","AZE","IS.RRS.PASG.KM","X2010",917
"35","AZE","IS.RRS.TOTL.KM","X2010",2079.1
"36","AZE","IS.SHP.GCNW.XQ","X2010",NA
"37","AZE","IS.SHP.GOOD.TU","X2010",NA
"38","AZE","IT.CEL.SETS","X2010",9100113
"39","AZE","IT.CEL.SETS.P2","X2010",100.7489875
"40","AZE","IT.MLT.MAIN","X2010",1506585
"41","AZE","IT.MLT.MAIN.P2","X2010",16.67967346
"42","AZE","IT.NET.BBND","X2010",475295
"43","AZE","IT.NET.BBND.P2","X2010",5.262076415
"44","AZE","IT.NET.SECR","X2010",23
"45","AZE","IT.NET.SECR.P6","X2010",2.540220526
"46","AZE","IT.NET.USER.ZS","X2010",46
"47","AZE","LP.LPI.INFR.XQ","X2010",2.23
"48","AZE","NY.GDP.MKTP.KD","X2010",52909294792
"49","AZE","SL.UEM.TOTL.ZS","X2010",5.63
"50","AZE","SP.POP.TOTL","X2010",9054332
"51","AZE","TM.VAL.ICTG.ZS.UN","X2010",3.46529431
"52","AZE","TX.VAL.ICTG.ZS.UN","X2010",0.006571151
"53","DEU","BX.GSR.CCIS.CD","X2010",20877688177
"54","DEU","BX.GSR.CCIS.ZS","X2010",9.040644307
"55","DEU","BX.TRF.PWKR.CD.DT","X2010",12788812790
"56","DEU","EG.ELC.COAL.ZS","X2010",43.64242247
"57","DEU","EG.ELC.HYRO.ZS","X2010",3.344010291
"58","DEU","EG.ELC.LOSS.ZS","X2010",3.826149129
"59","DEU","EG.ELC.NGAS.ZS","X2010",14.41979754
"60","DEU","EG.ELC.NUCL.ZS","X2010",22.43214387
"61","DEU","EG.ELC.PETR.ZS","X2010",1.395026676
"62","DEU","EG.USE.ELEC.KH.PC","X2010",7264.322591
"63","DEU","ER.H2O.FWAG.ZS","X2010",NA
"64","DEU","ER.H2O.FWDM.ZS","X2010",NA
"65","DEU","ER.H2O.FWIN.ZS","X2010",NA
"66","DEU","ER.H2O.FWTL.K3","X2010",NA
"67","DEU","ER.H2O.FWTL.ZS","X2010",NA
"68","DEU","ER.H2O.INTR.K3","X2010",NA
"69","DEU","ER.H2O.INTR.PC","X2010",NA
"70","DEU","IE.PPI.ENGY.CD","X2010",NA
"71","DEU","IE.PPI.ICTI.CD","X2010",NA
"72","DEU","IE.PPI.TRAN.CD","X2010",NA
"73","DEU","IE.PPI.WATR.CD","X2010",NA
"74","DEU","IE.PPN.ENGY.CD","X2010",NA
"75","DEU","IE.PPN.TRAN.CD","X2010",NA
"76","DEU","IE.PPN.WATR.CD","X2010",NA
"77","DEU","IP.IDS.NRCT","X2010",10228
"78","DEU","IP.IDS.RSCT","X2010",40396
"79","DEU","IP.TMK.NRCT","X2010",23923
"80","DEU","IP.TMK.RSCT","X2010",197433
"81","DEU","IQ.SPI.PIL5","X2010",NA
"82","DEU","IS.AIR.DPRT","X2010",971803.4316
"83","DEU","IS.AIR.GOOD.MT.K1","X2010",7487.481001
"84","DEU","IS.AIR.PSGR","X2010",97330734.28
"85","DEU","IS.RRS.GOOD.MT.K6","X2010",107317
"86","DEU","IS.RRS.PASG.KM","X2010",83886
"87","DEU","IS.RRS.TOTL.KM","X2010",33714.093
"88","DEU","IS.SHP.GCNW.XQ","X2010",82.58437628
"89","DEU","IS.SHP.GOOD.TU","X2010",14674340
"90","DEU","IT.CEL.SETS","X2010",88400000
"91","DEU","IT.CEL.SETS.P2","X2010",109.3693912
"92","DEU","IT.MLT.MAIN","X2010",52900000
"93","DEU","IT.MLT.MAIN.P2","X2010",65.44842527
"94","DEU","IT.NET.BBND","X2010",26161950
"95","DEU","IT.NET.BBND.P2","X2010",32.3678342
"96","DEU","IT.NET.SECR","X2010",85810
"97","DEU","IT.NET.SECR.P6","X2010",1049.317943
"98","DEU","IT.NET.USER.ZS","X2010",82
"99","DEU","LP.LPI.INFR.XQ","X2010",4.34
"100","DEU","NY.GDP.MKTP.KD","X2010",3.39635e+12
"101","DEU","SL.UEM.TOTL.ZS","X2010",6.97
"102","DEU","SP.POP.TOTL","X2010",81776930
"103","DEU","TM.VAL.ICTG.ZS.UN","X2010",9.542706361
"104","DEU","TX.VAL.ICTG.ZS.UN","X2010",5.283167521
"105","KAZ","BX.GSR.CCIS.CD","X2010",93587146.19
"106","KAZ","BX.GSR.CCIS.ZS","X2010",2.272103991
"107","KAZ","BX.TRF.PWKR.CD.DT","X2010",225556234.3
"108","KAZ","EG.ELC.COAL.ZS","X2010",80.65363115
"109","KAZ","EG.ELC.HYRO.ZS","X2010",9.706458873
"110","KAZ","EG.ELC.LOSS.ZS","X2010",8.025796772
"111","KAZ","EG.ELC.NGAS.ZS","X2010",8.889722431
"112","KAZ","EG.ELC.NUCL.ZS","X2010",0
"113","KAZ","EG.ELC.PETR.ZS","X2010",0.750187547
"114","KAZ","EG.USE.ELEC.KH.PC","X2010",4728.011591
"115","KAZ","ER.H2O.FWAG.ZS","X2010",NA
"116","KAZ","ER.H2O.FWDM.ZS","X2010",NA
"117","KAZ","ER.H2O.FWIN.ZS","X2010",NA
"118","KAZ","ER.H2O.FWTL.K3","X2010",NA
"119","KAZ","ER.H2O.FWTL.ZS","X2010",NA
"120","KAZ","ER.H2O.INTR.K3","X2010",NA
"121","KAZ","ER.H2O.INTR.PC","X2010",NA
"122","KAZ","IE.PPI.ENGY.CD","X2010",14500000
"123","KAZ","IE.PPI.ICTI.CD","X2010",NA
"124","KAZ","IE.PPI.TRAN.CD","X2010",NA
"125","KAZ","IE.PPI.WATR.CD","X2010",NA
"126","KAZ","IE.PPN.ENGY.CD","X2010",NA
"127","KAZ","IE.PPN.TRAN.CD","X2010",NA
"128","KAZ","IE.PPN.WATR.CD","X2010",NA
"129","KAZ","IP.IDS.NRCT","X2010",101
"130","KAZ","IP.IDS.RSCT","X2010",149
"131","KAZ","IP.TMK.NRCT","X2010",NA
"132","KAZ","IP.TMK.RSCT","X2010",NA
"133","KAZ","IQ.SPI.PIL5","X2010",NA
"134","KAZ","IS.AIR.DPRT","X2010",33483
"135","KAZ","IS.AIR.GOOD.MT.K1","X2010",42.379
"136","KAZ","IS.AIR.PSGR","X2010",3098327
"137","KAZ","IS.RRS.GOOD.MT.K6","X2010",213174
"138","KAZ","IS.RRS.PASG.KM","X2010",15447.88
"139","KAZ","IS.RRS.TOTL.KM","X2010",14184.1
"140","KAZ","IS.SHP.GCNW.XQ","X2010",NA
"141","KAZ","IS.SHP.GOOD.TU","X2010",NA
"142","KAZ","IT.CEL.SETS","X2010",19402600
"143","KAZ","IT.CEL.SETS.P2","X2010",119.3838723
"144","KAZ","IT.MLT.MAIN","X2010",4057600
"145","KAZ","IT.MLT.MAIN.P2","X2010",24.96634472
"146","KAZ","IT.NET.BBND","X2010",869600
"147","KAZ","IT.NET.BBND.P2","X2010",5.35063421
"148","KAZ","IT.NET.SECR","X2010",57
"149","KAZ","IT.NET.SECR.P6","X2010",3.492246478
"150","KAZ","IT.NET.USER.ZS","X2010",31.6
"151","KAZ","LP.LPI.INFR.XQ","X2010",2.66
"152","KAZ","NY.GDP.MKTP.KD","X2010",1.48047e+11
"153","KAZ","SL.UEM.TOTL.ZS","X2010",5.77
"154","KAZ","SP.POP.TOTL","X2010",16321872
"155","KAZ","TM.VAL.ICTG.ZS.UN","X2010",4.967140044
"156","KAZ","TX.VAL.ICTG.ZS.UN","X2010",0.049219566
"157","KGZ","BX.GSR.CCIS.CD","X2010",22840249
"158","KGZ","BX.GSR.CCIS.ZS","X2010",3.805894302
"159","KGZ","BX.TRF.PWKR.CD.DT","X2010",1266195469
"160","KGZ","EG.ELC.COAL.ZS","X2010",4.991735537
"161","KGZ","EG.ELC.HYRO.ZS","X2010",91.80165289
"162","KGZ","EG.ELC.LOSS.ZS","X2010",24.09090909
"163","KGZ","EG.ELC.NGAS.ZS","X2010",1.495867769
"164","KGZ","EG.ELC.NUCL.ZS","X2010",0
"165","KGZ","EG.ELC.PETR.ZS","X2010",1.710743802
"166","KGZ","EG.USE.ELEC.KH.PC","X2010",1371.721214
"167","KGZ","ER.H2O.FWAG.ZS","X2010",NA
"168","KGZ","ER.H2O.FWDM.ZS","X2010",NA
"169","KGZ","ER.H2O.FWIN.ZS","X2010",NA
"170","KGZ","ER.H2O.FWTL.K3","X2010",NA
"171","KGZ","ER.H2O.FWTL.ZS","X2010",NA
"172","KGZ","ER.H2O.INTR.K3","X2010",NA
"173","KGZ","ER.H2O.INTR.PC","X2010",NA
"174","KGZ","IE.PPI.ENGY.CD","X2010",NA
"175","KGZ","IE.PPI.ICTI.CD","X2010",NA
"176","KGZ","IE.PPI.TRAN.CD","X2010",NA
"177","KGZ","IE.PPI.WATR.CD","X2010",NA
"178","KGZ","IE.PPN.ENGY.CD","X2010",NA
"179","KGZ","IE.PPN.TRAN.CD","X2010",NA
"180","KGZ","IE.PPN.WATR.CD","X2010",NA
"181","KGZ","IP.IDS.NRCT","X2010",559
"182","KGZ","IP.IDS.RSCT","X2010",13
"183","KGZ","IP.TMK.NRCT","X2010",NA
"184","KGZ","IP.TMK.RSCT","X2010",NA
"185","KGZ","IQ.SPI.PIL5","X2010",NA
"186","KGZ","IS.AIR.DPRT","X2010",7371
"187","KGZ","IS.AIR.GOOD.MT.K1","X2010",1.3027
"188","KGZ","IS.AIR.PSGR","X2010",375602
"189","KGZ","IS.RRS.GOOD.MT.K6","X2010",737.7
"190","KGZ","IS.RRS.PASG.KM","X2010",98.7
"191","KGZ","IS.RRS.TOTL.KM","X2010",417.2
"192","KGZ","IS.SHP.GCNW.XQ","X2010",NA
"193","KGZ","IS.SHP.GOOD.TU","X2010",NA
"194","KGZ","IT.CEL.SETS","X2010",5275477
"195","KGZ","IT.CEL.SETS.P2","X2010",97.29236321
"196","KGZ","IT.MLT.MAIN","X2010",489052
"197","KGZ","IT.MLT.MAIN.P2","X2010",9.019283908
"198","KGZ","IT.NET.BBND","X2010",23053
"199","KGZ","IT.NET.BBND.P2","X2010",0.425152237
"200","KGZ","IT.NET.SECR","X2010",10
"201","KGZ","IT.NET.SECR.P6","X2010",1.835569669
"202","KGZ","IT.NET.USER.ZS","X2010",16.3
