date,applicant ,arrival,asylum ,benefit,border ,control ,business ,citizenship ,compensation ,consulate ,contract ,customs ,deportation ,diaspora ,discriminate ,earning ,economy ,embassy ,emigrant ,emigrate ,emigration ,employer ,employment ,foreigner,GDP,hiring ,illegal ,immigrant ,immigrate ,immigration ,income ,inflation ,internship ,job,labor,layoff,legalization ,migrant,migrate,migration ,minimum ,nationality ,naturalization ,passport,payroll,pension,quota,recession ,recruitment,refugee ,remuneration ,required documents ,salary,Schengen,smuggler ,smuggling,tax,tourist ,unauthorized ,undocumented ,unemployment ,union,unskilled,vacancy,visa,waiver,wage,welfare
2016-01-03,28,6,31,59,22,94,69,29,88,41,52,70,32,10,21,28,51,53,19,14,44,54,93,3,48,50,58,12,14,24,61,53,68,37,14,19,3,4,42,9,70,28,30,83,35,57,33,6,97,12,22,38,77,21,11,6,42,58,63,13,6,62,0,70,59,38,62,78
2016-01-10,19,4,32,74,21,86,72,32,77,35,52,67,28,17,27,29,66,39,10,21,17,61,85,3,37,55,51,10,9,18,69,37,73,36,14,16,6,13,32,9,56,39,62,74,36,60,49,9,85,13,11,60,80,9,52,43,45,70,48,10,5,76,17,56,53,32,45,68
2016-01-17,19,5,29,75,23,84,71,31,67,36,59,74,18,27,28,40,67,46,19,36,44,67,95,3,47,54,47,12,10,16,74,43,67,38,14,24,3,5,30,8,55,53,49,74,33,59,63,8,100,13,44,8,82,22,43,0,56,68,68,15,5,60,35,29,58,35,48,57
2016-01-24,19,5,36,71,21,82,72,24,86,43,58,82,20,37,28,56,77,44,13,29,44,65,100,4,41,51,57,14,7,18,85,38,100,38,14,33,3,10,36,12,57,54,41,80,32,49,75,6,64,14,22,23,86,12,85,31,73,79,53,15,5,59,35,45,55,39,37,81
2016-01-31,29,4,26,72,24,85,70,24,81,34,56,80,16,23,14,26,67,49,8,28,52,71,97,3,57,48,53,11,12,17,96,65,95,36,14,28,5,7,34,13,46,35,30,76,32,59,41,7,77,12,0,22,85,9,31,12,82,60,57,12,5,59,34,48,52,38,38,83
2016-02-07,16,4,23,74,21,85,70,28,97,37,53,69,19,24,27,28,77,45,8,14,35,51,89,5,60,38,54,9,19,19,78,61,73,33,14,22,2,8,42,12,49,51,13,67,28,60,46,10,55,14,22,30,81,24,42,6,71,66,34,21,5,59,0,57,54,35,38,68
2016-02-14,16,5,22,80,22,86,68,29,78,30,49,85,18,21,35,28,69,45,11,14,9,46,81,3,46,47,51,10,12,16,83,48,67,34,14,22,3,6,22,11,48,54,44,76,33,45,59,9,58,13,22,15,71,12,43,19,65,65,49,16,5,61,18,79,54,30,34,67
2016-02-21,38,3,29,84,23,82,73,27,84,39,60,91,14,41,41,49,70,45,13,14,44,57,90,4,59,45,66,11,14,18,85,68,89,37,14,16,4,14,46,10,48,42,46,82,33,62,100,8,55,11,33,38,82,15,53,12,67,58,58,20,4,58,0,65,53,42,38,72
2016-02-28,22,6,29,72,20,81,78,26,85,50,64,69,14,20,20,37,64,56,18,21,26,59,90,4,55,45,52,8,11,19,79,56,85,35,14,29,3,7,66,12,51,51,44,72,28,46,45,8,64,16,21,37,77,12,21,24,59,68,38,22,5,60,34,91,57,42,34,83
2016-03-06,23,4,27,86,21,82,70,29,76,41,58,68,12,16,53,32,70,47,10,14,17,51,93,3,51,43,54,15,9,18,78,64,73,35,13,16,5,13,39,10,49,45,39,70,28,55,48,7,72,13,21,66,80,24,10,36,56,62,37,13,5,57,33,47,54,34,37,76
2016-03-13,27,5,24,80,24,87,69,26,72,46,55,82,21,43,27,29,68,49,5,28,34,52,84,3,42,44,61,13,30,18,68,62,76,37,16,27,3,9,39,13,47,49,45,68,32,64,53,4,75,15,32,22,75,9,21,37,56,76,52,12,5,58,17,56,52,29,34,73
2016-03-20,39,5,20,76,23,82,66,28,75,41,61,77,18,27,28,26,54,56,27,22,62,49,94,2,38,43,52,9,7,18,69,35,60,36,13,23,2,7,45,12,44,43,41,83,26,45,34,7,67,15,11,23,77,31,21,69,55,77,49,15,4,57,70,41,53,30,31,76
2016-03-27,34,7,22,79,20,80,73,21,68,51,58,65,13,17,35,46,57,53,11,7,9,49,82,1,39,46,51,9,14,18,77,64,78,36,12,23,2,10,43,11,94,47,23,77,33,48,51,9,75,9,22,31,74,28,43,57,63,83,69,15,4,62,35,37,57,36,91,83
2016-04-03,29,5,23,80,25,90,70,24,99,45,63,89,11,30,27,42,50,47,11,21,26,52,89,5,48,46,52,11,12,17,79,61,81,39,15,25,5,7,32,12,95,46,20,75,27,61,62,9,64,13,22,38,85,15,63,31,69,66,63,12,5,61,0,57,55,42,80,80
2016-04-10,21,5,24,81,24,89,74,32,72,40,64,80,12,20,34,26,65,44,5,42,43,53,96,6,55,47,50,12,19,19,95,75,77,37,14,14,4,9,36,15,60,38,40,77,26,54,74,5,67,13,11,38,82,6,73,18,95,70,72,12,5,57,0,48,60,28,45,76
2016-04-17,14,5,26,80,25,86,70,27,71,43,62,73,23,23,13,66,69,41,13,7,69,49,86,4,54,45,57,9,16,22,80,63,73,36,14,45,6,6,45,11,54,54,52,66,27,41,57,6,81,12,54,30,80,9,42,30,61,66,38,17,5,57,34,44,51,42,44,75
2016-04-24,22,6,25,70,23,84,73,24,86,46,60,69,16,23,20,50,64,41,13,21,61,39,94,3,55,42,62,14,7,17,61,72,65,37,14,53,5,9,38,10,48,43,40,68,30,62,37,5,55,9,65,8,82,12,52,6,36,70,38,16,5,59,0,48,51,40,41,77
2016-05-01,18,5,19,66,22,84,70,28,75,46,58,71,26,30,40,39,63,44,10,21,42,45,85,3,52,51,50,12,14,20,58,69,69,36,13,35,2,8,56,10,51,41,39,71,28,42,48,6,82,11,53,29,77,12,21,0,33,71,28,21,4,60,67,51,56,37,41,77
2016-05-08,16,5,27,72,22,83,69,23,70,34,62,78,13,44,62,40,65,47,5,21,35,59,89,5,61,45,63,12,19,20,54,61,63,38,14,25,5,8,61,13,46,40,26,68,24,54,42,10,52,13,0,8,82,31,32,25,33,65,58,30,5,59,0,66,57,38,37,84
2016-05-15,18,5,34,74,23,91,66,25,78,38,58,74,22,48,28,26,65,55,19,7,62,50,89,3,48,53,55,11,19,18,60,58,65,38,15,17,4,11,61,11,54,44,23,72,28,53,46,7,83,19,11,23,89,25,43,50,30,86,34,16,5,61,0,50,55,37,39,48
2016-05-22,25,7,29,72,24,82,65,27,67,43,58,65,11,38,7,42,64,52,11,14,27,48,78,2,47,49,57,12,12,17,56,61,49,39,16,18,3,9,35,12,50,43,44,78,20,52,55,5,61,11,11,31,85,19,64,31,31,83,39,19,5,58,35,41,54,47,40,73
2016-05-29,20,5,25,65,23,81,58,24,67,45,43,81,9,32,64,31,45,44,16,15,18,41,78,4,38,56,53,13,5,13,49,56,52,33,14,17,5,8,33,10,42,42,26,74,26,58,22,6,66,10,11,16,80,19,33,6,27,79,35,10,4,62,18,47,53,30,33,66
2016-06-05,19,5,27,62,24,80,62,25,74,35,57,63,16,14,28,35,47,52,22,29,36,46,79,3,37,55,60,11,7,15,56,53,50,35,14,17,3,5,35,9,54,53,31,74,24,50,43,5,50,13,45,16,83,34,32,25,27,64,39,31,5,60,18,50,60,36,43,73
2016-06-12,5,6,23,65,23,94,60,20,63,37,51,55,13,42,0,23,42,56,16,15,27,48,79,5,38,52,61,11,5,14,53,45,39,35,13,29,1,7,37,10,50,50,31,73,25,42,22,4,47,11,45,55,78,16,33,51,28,85,50,17,4,59,18,42,57,44,39,62
2016-06-19,20,5,17,67,27,94,59,28,77,48,52,65,9,14,57,23,56,53,27,0,18,49,79,5,38,54,54,11,2,20,50,48,41,36,15,25,2,6,56,7,39,35,42,80,22,52,22,7,73,13,11,24,80,48,0,26,26,66,35,17,5,69,0,81,71,32,42,71
2016-06-26,15,7,22,73,22,87,60,24,73,42,70,73,13,22,29,26,51,63,53,30,19,32,79,2,45,55,66,9,13,15,53,40,39,38,16,23,7,2,53,9,56,47,32,78,28,53,27,5,46,8,47,8,91,36,0,40,28,88,67,17,5,68,55,39,66,36,48,71
2016-07-03,12,7,24,63,22,81,55,24,69,47,82,64,10,11,15,37,42,50,30,0,30,41,78,9,37,52,86,7,8,13,44,47,43,32,14,13,4,5,45,9,54,44,29,70,29,31,33,3,56,8,12,34,81,14,24,35,28,66,16,15,5,62,0,55,62,32,46,59
2016-07-10,13,6,33,63,18,79,62,21,83,41,60,66,8,26,15,44,42,53,14,16,19,51,74,3,37,54,55,7,10,13,57,46,32,36,17,20,4,5,42,8,52,40,22,77,29,49,68,3,47,9,36,25,77,13,35,20,29,81,63,12,5,60,38,63,63,43,47,67
2016-07-17,13,7,21,79,21,85,64,22,77,50,57,74,19,18,22,38,43,54,29,23,38,44,89,4,31,54,56,9,5,14,52,38,46,37,16,23,4,5,39,8,51,51,25,68,23,28,45,5,65,9,0,25,79,33,35,13,29,73,47,19,5,59,19,44,64,41,39,75
2016-07-24,16,6,25,56,22,79,62,23,70,31,53,54,11,57,7,57,34,55,25,0,46,41,84,4,41,58,60,9,5,14,54,40,37,34,20,17,3,7,27,10,50,32,40,68,25,57,53,7,54,11,35,24,84,19,11,39,28,67,46,13,4,61,0,47,51,38,42,74
2016-07-31,11,6,26,64,21,85,64,30,81,45,54,56,19,19,52,40,38,59,23,0,0,41,84,4,38,49,52,9,5,13,51,42,37,37,20,26,2,3,31,7,47,37,55,69,30,51,27,3,68,24,24,58,80,10,46,27,30,70,63,9,5,62,38,58,62,51,35,84
2016-08-07,33,7,28,61,22,75,64,18,66,47,55,76,10,11,31,31,39,49,27,8,10,41,84,2,38,47,51,6,16,11,54,50,49,35,21,12,3,3,34,7,44,61,34,63,30,43,33,6,65,25,12,43,78,7,48,14,29,68,44,12,4,58,19,65,56,47,31,64
